,total_sqft,bath,price,price_per_sqft
0,1056.0,2.0,39.07,3699.810606060606
1,2600.0,5.0,120.0,4615.384615384615
2,1440.0,2.0,62.0,4305.555555555556
3,1521.0,3.0,95.0,6245.890861275477
4,1200.0,2.0,51.0,4250.0
5,1170.0,2.0,38.0,3247.863247863248
6,2732.0,4.0,204.0,7467.0571010248905
7,3300.0,4.0,600.0,18181.81818181818
8,1310.0,3.0,63.25,4828.244274809161
9,1020.0,6.0,370.0,36274.509803921566
10,1800.0,2.0,70.0,3888.8888888888887
11,2785.0,5.0,295.0,10592.45960502693
12,1000.0,2.0,38.0,3800.0
13,1100.0,2.0,40.0,3636.3636363636365
14,2250.0,3.0,148.0,6577.777777777777
15,1175.0,2.0,73.5,6255.31914893617
16,1180.0,3.0,48.0,4067.7966101694915
17,1540.0,3.0,60.0,3896.103896103896
18,2770.0,4.0,290.0,10469.314079422382
19,1100.0,2.0,48.0,4363.636363636364
20,600.0,1.0,15.0,2500.0
21,1755.0,3.0,122.0,6951.5669515669515
22,2800.0,5.0,380.0,13571.42857142857
23,1767.0,3.0,103.0,5829.088851160159
24,510.0,1.0,25.25,4950.980392156863
25,1250.0,3.0,56.0,4480.0
26,660.0,1.0,23.1,3500.0
27,1610.0,3.0,81.0,5031.055900621118
28,1151.0,2.0,48.77,4237.185056472633
29,1025.0,2.0,47.0,4585.365853658536
31,1075.0,2.0,35.0,3255.813953488372
32,1760.0,2.0,123.0,6988.636363636364
33,1693.0,3.0,57.39,3389.84051978736
34,1925.0,3.0,125.0,6493.506493506494
35,700.0,2.0,36.0,5142.857142857143
36,1070.0,2.0,45.5,4252.336448598131
37,1724.0,3.0,125.0,7250.580046403712
38,1290.0,2.0,56.12,4350.387596899225
39,1143.0,2.0,45.0,3937.0078740157483
40,1296.0,2.0,81.0,6250.0
41,1254.0,3.0,38.0,3030.3030303030305
42,600.0,1.0,38.0,6333.333333333333
43,660.0,1.0,48.0,7272.727272727273
44,1330.74,2.0,91.79,6897.665960292769
45,600.0,9.0,200.0,33333.333333333336
46,970.0,2.0,33.0,3402.061855670103
47,1459.0,2.0,94.82,6498.971898560658
48,800.0,1.0,130.0,16250.0
49,869.0,2.0,36.0,4142.692750287687
50,1270.0,2.0,50.0,3937.0078740157483
51,1670.0,3.0,99.0,5928.143712574851
52,2010.0,3.0,91.0,4527.363184079602
53,1185.0,2.0,75.0,6329.113924050633
54,1600.0,2.0,75.0,4687.5
55,1200.0,2.0,44.0,3666.6666666666665
57,1500.0,2.0,185.0,12333.333333333334
58,1407.0,4.0,150.0,10660.980810234541
59,840.0,2.0,45.0,5357.142857142857
60,4395.0,3.0,240.0,5460.750853242321
61,845.0,2.0,55.0,6508.87573964497
62,5700.0,5.0,650.0,11403.508771929824
63,1160.0,2.0,44.0,3793.103448275862
64,3000.0,8.0,140.0,4666.666666666667
65,1100.0,2.0,62.0,5636.363636363636
66,1140.0,2.0,43.0,3771.9298245614036
67,1220.0,2.0,57.0,4672.131147540984
68,1350.0,7.0,85.0,6296.2962962962965
69,1005.0,2.0,36.68,3649.7512437810947
70,500.0,3.0,100.0,20000.0
71,1358.0,2.0,80.58,5933.726067746687
72,1569.0,3.0,101.0,6437.221159974506
73,1240.0,2.0,70.0,5645.1612903225805
74,2089.0,3.0,140.0,6701.771182383915
75,1206.0,2.0,48.23,3999.1708126036483
76,1150.0,2.0,40.0,3478.2608695652175
77,2511.0,3.0,205.0,8164.078056551175
78,460.0,1.0,22.0,4782.608695652174
79,4400.0,6.0,250.0,5681.818181818182
80,1660.0,2.0,105.0,6325.301204819277
82,1326.0,2.0,78.0,5882.35294117647
83,1325.0,2.0,60.8,4588.679245283019
84,1499.0,5.0,102.0,6804.536357571715
85,3000.0,7.0,210.0,7000.0
86,1665.0,3.0,88.0,5285.285285285286
87,708.0,2.0,37.0,5225.988700564972
88,1060.0,2.0,58.06,5477.358490566037
89,710.0,6.0,160.0,22535.211267605635
90,1000.0,2.0,70.0,7000.0
91,1000.0,2.0,28.88,2888.0
92,1450.0,2.0,70.0,4827.586206896552
93,1200.0,4.0,155.0,12916.666666666666
94,1296.0,2.0,80.0,6172.83950617284
95,1540.0,3.0,90.0,5844.1558441558445
96,2894.0,4.0,245.0,8465.791292328957
97,1330.0,2.0,48.0,3609.0225563909776
98,1200.0,2.0,65.0,5416.666666666667
99,1200.0,3.0,90.0,7500.0
100,2502.0,3.0,138.0,5515.587529976019
101,650.0,1.0,17.0,2615.3846153846152
102,2400.0,2.0,150.0,6250.0
103,1007.0,2.0,43.0,4270.109235352532
104,1200.0,2.0,50.0,4166.666666666667
105,966.0,2.0,49.9,5165.631469979296
106,1630.0,2.0,98.0,6012.269938650306
107,1640.0,3.0,229.0,13963.414634146342
108,782.0,2.0,55.68,7120.204603580562
109,1260.0,2.0,66.78,5300.0
110,1800.0,3.0,120.0,6666.666666666667
111,1413.0,2.0,75.0,5307.855626326964
112,1116.0,2.0,51.91,4651.433691756272
113,1530.0,2.0,45.9,3000.0
114,3700.0,4.0,225.0,6081.081081081081
115,2497.0,3.0,140.0,5606.728073688426
116,1540.0,2.0,64.0,4155.8441558441555
117,1436.0,3.0,74.75,5205.431754874652
118,1100.0,2.0,75.0,6818.181818181818
119,276.0,3.0,23.0,8333.333333333334
120,1427.0,3.0,120.0,8409.250175192712
121,2061.0,3.0,200.0,9704.02717127608
123,2650.0,4.0,150.0,5660.377358490566
124,1282.0,2.0,68.52,5344.773790951638
125,1050.0,2.0,34.0,3238.095238095238
126,1600.0,3.0,65.0,4062.5
127,945.0,2.0,54.0,5714.285714285715
128,1500.0,2.0,78.0,5200.0
129,950.0,7.0,115.0,12105.263157894737
130,1870.0,3.0,110.0,5882.35294117647
131,1600.0,3.0,75.0,4687.5
132,880.0,1.0,16.5,1875.0
133,1200.0,4.0,210.0,17500.0
134,1535.0,3.0,83.0,5407.166123778502
135,950.0,2.0,57.0,6000.0
136,1360.0,2.0,65.0,4779.411764705882
138,1280.0,3.0,50.4,3937.5
139,1260.0,2.0,85.05,6750.0
140,5000.0,8.0,250.0,5000.0
141,3050.0,5.0,213.0,6983.606557377049
142,1563.05,3.0,105.0,6717.635392341896
143,1000.0,2.0,60.0,6000.0
144,1167.0,2.0,43.76,3749.7857754927163
145,4000.0,7.0,225.0,5625.0
146,1828.0,3.0,110.0,6017.505470459519
147,890.0,2.0,35.0,3932.5842696629215
148,1612.0,3.0,46.74,2899.5037220843674
149,1034.0,5.0,185.0,17891.682785299807
150,1710.0,4.0,91.31,5339.766081871345
151,957.0,2.0,58.0,6060.606060606061
152,1250.0,2.0,44.0,3520.0
153,2795.0,4.0,235.0,8407.871198568873
154,1125.0,2.0,50.0,4444.444444444444
155,1020.0,2.0,30.6,3000.0
156,1200.0,2.0,50.0,4166.666666666667
157,1735.0,3.0,135.0,7780.979827089337
158,2050.0,3.0,145.0,7073.170731707317
159,3750.0,4.0,760.0,20266.666666666668
160,1350.0,2.0,48.0,3555.5555555555557
161,1063.0,2.0,32.0,3010.348071495767
162,1904.0,3.0,150.0,7878.151260504202
163,4200.0,4.0,420.0,10000.0
164,2000.0,3.0,175.0,8750.0
166,1425.0,2.0,75.0,5263.1578947368425
167,1500.0,2.0,64.5,4300.0
168,1060.0,2.0,60.0,5660.377358490566
169,1470.0,2.0,70.0,4761.9047619047615
170,1300.0,6.0,99.0,7615.384615384615
171,450.0,1.0,11.0,2444.4444444444443
172,1152.0,2.0,64.5,5598.958333333333
173,1350.0,2.0,56.0,4148.148148148148
174,1550.0,3.0,65.0,4193.548387096775
175,1500.0,3.0,100.0,6666.666666666667
176,600.0,3.0,85.0,14166.666666666666
177,400.0,1.0,14.0,3500.0
178,705.0,1.0,67.0,9503.54609929078
179,770.0,1.0,36.0,4675.324675324675
180,1242.0,2.0,51.0,4106.280193236715
181,1700.0,3.0,155.0,9117.64705882353
182,2144.0,3.0,145.0,6763.059701492537
183,1704.0,3.0,110.0,6455.399061032864
184,1070.0,2.0,52.0,4859.813084112149
185,1846.0,3.0,300.0,16251.354279523293
186,1340.0,2.0,55.7,4156.7164179104475
187,1025.0,2.0,46.0,4487.804878048781
189,1200.0,2.0,52.0,4333.333333333333
190,2250.0,4.0,110.0,4888.888888888889
191,1550.0,2.0,80.0,5161.290322580645
192,1200.0,5.0,325.0,27083.333333333332
193,1800.0,7.0,250.0,13888.888888888889
194,1200.0,2.0,60.0,5000.0
